Country_Region,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
Canada,153651,1890,13002.912836622192,1.2300603315305465
Canada,4989,32,12145.187204829836,0.6414111044297455
Central African Republic,15368,113,318.1936011780286,0.7352941176470589
Chad,7679,194,46.74945766915448,2.526370621174632
Chile,183811,1961,30255.26143392798,1.0668567169538277
Chile,293632,2922,30675.369610456903,0.9951231473408892
Chile,79718,900,35262.84126899871,1.1289796532778043
Chile,116955,718,40476.70136773908,0.6139113334188363
Chile,36352,222,35239.14771515539,0.6106954225352113
Chile,510730,4824,32806.292374446384,0.9445303780862687
Chile,211158,1951,27872.479164081706,0.9239526799837089
Chile,243060,2577,29329.993194225222,1.0602320414712416
Chile,148252,1411,38523.32286136728,0.9517578177697434
Chile,67653,774,40624.3807533642,1.1440734335506186
Chile,346804,3354,33188.57361596249,0.967116872931108
Chile,1967389,30869,27659.80749093748,1.5690338819623368
Chile,158355,1333,32948.82118312391,0.8417795459568691
Chile,221916,2821,24264.915724040653,1.2712017159645992
Chile,113542,1173,34348.58632978176,1.033097884483275
Chile,42,2,,4.761904761904762
Chile,492917,6461,27144.47145275461,1.310768344366293
China,2275,7,3.5974067046173306,0.3076923076923077
China,40774,20,189.29433611884863,0.04905086574778045
China,14715,11,47.437137330754354,0.07475365273530411
China,17122,2,43.44582593250444,0.011680878402055835
China,1742,2,6.6059916571861965,0.1148105625717566
China,103248,10,90.99947117927024,0.009685417635208431
China,13371,2,27.143727161997564,0.01495774437214868
China,2534,2,7.038888888888889,0.07892659826361484
China,10483,6,112.23768736616702,0.057235524182008966
China,3292,7,4.356802541026998,0.212636695018226
China,6603,18,17.500662602703418,0.2726033621081327
China,9948,23,10.35710567412806,0.2312022517088862
China,2876106,13467,38363.48677628936,0.4682372624652916
China,72131,4515,121.90468142639853,6.259444621591271
China,7437,4,10.779823162777214,0.053785128411994086
China,8847,1,34.913180741910026,0.011303266644060133
China,5075,0,6.303564774562166,0.0
China,3423,2,7.364457831325301,0.05842827928717499
China,40764,5,150.75443786982248,0.012265724659012855
China,3547,2,8.137187428309245,0.05638567803777841
China,3514,121,541.1632082939345,3.4433693796243596
China,1276,0,18.546511627906977,0.0
China,782,0,12.96849087893864,0.0
China,7326,5,18.959627329192543,0.06825006825006825
China,5880,10,5.85249328157659,0.17006802721088435
China,67040,595,276.5676567656766,0.8875298329355609
China,7167,1,19.2764927380312,0.013952839402818473
China,14567,12,17.464332813811293,0.08237797762064941
China,4392,3,28.15384615384616,0.06830601092896176
China,1647,0,47.877906976744185,0.0
China,1521816,82195,,5.401112880926472
China,3089,3,12.420587052673904,0.09711880867594691
China,9743,4,20.17184265010352,0.041055116493893054
China,11848,1,20.65190866306432,0.008440243079000676
Colombia,7851,265,10250.819308255755,3.3753661953891223
Colombia,950809,18617,14839.922948003636,1.9580168046368933
Colombia,17130,569,6533.828678663788,3.321657910099241
Colombia,417897,10230,16481.727395241287,2.447971629372788
Colombia,203497,3276,9830.250566395023,1.6098517422861272
Colombia,130254,2903,10699.57022316852,2.2287223425000384
Colombia,119792,2580,12000.140244727048,2.1537331374382265
Colombia,1874877,30051,25293.22504514631,1.6028251453295337
Colombia,25704,1041,6402.167929881018,4.049953314659197
Colombia,43079,1029,10244.611228430644,2.388634833677662
Colombia,76788,1854,5243.334189150065,2.414439756211908
Colombia,109404,2694,9112.6411199976,2.462432817812877
Colombia,18891,430,3532.176820124676,2.276216187602562
Colombia,122594,3961,6868.846240691445,3.230990097394652
Colombia,330221,7398,11312.580077148124,2.2403178477443895
Colombia,2795,37,5809.120006650871,1.3237924865831843
Colombia,5683,105,6866.263124192009,1.8476156959352454
Colombia,103346,3593,9391.795242760269,3.4766706016681828
Colombia,58097,1548,6597.733260652312,2.6645093550441503
Colombia,117751,3655,8775.953123765601,3.1040076092772035
Colombia,107879,2609,10375.75428816549,2.4184503007999703
Colombia,108552,3418,6657.214067038229,3.14872135013634
Colombia,125260,5192,8397.19271242196,4.144978444834743
Colombia,21998,791,6317.9601472792965,3.5957814346758794
Colombia,73182,2086,13554.631934566143,2.8504277008007435
Colombia,110026,2514,11662.696986753246,2.284914474760511
Colombia,10375,157,16930.483028720628,1.5132530120481928
Colombia,295934,8382,13544.900603569053,2.8323883027972454
Colombia,67157,1747,7421.786502487117,2.601366946111351
Colombia,127417,4092,9578.878759151909,3.211502389791001
Colombia,0,0,,
Colombia,569412,15428,12721.77173413264,2.7094616903050865
Colombia,1964,22,4814.079466627448,1.120162932790224
